name "test f"  lat "48.90764605917054"  lon "2.3180925511058206"
name "test e"  lat "48.87275537835049"  lon "2.3314761131188275"
name "test d"  lat "48.83636285228451"  lon "2.351883155932603"
name "test c"  lat "48.89590673115565"  lon "2.331824874938986"
name "test b"  lat "48.87945619683381"  lon "2.391027549657102"
name "test a"  lat "48.89454211074786"  lon "2.308940404357678"
name "test 9"  lat "48.85861509891947"  lon "2.3230090211060648"
name "test 8"  lat "48.86075689332694"  lon "2.3674261624526745"
name "test 7"  lat "48.85095541836596"  lon "2.390234782404117"
name "test 6"  lat "48.85792484278782"  lon "2.3614030134591024"
name "test 5"  lat "48.88792519753361"  lon "2.308949244961071"
name "test 4"  lat "48.87332214768557"  lon "2.3600198169373026"
name "test 3"  lat "48.86082135866196"  lon "2.3970982043304505"
name "test 2"  lat "48.88971119668282"  lon "2.3013225395403807"
name "test 1"  lat "48.89146040840911"  lon "2.3012489524490065"
